filename,T,H,muX,muC,epsilon_X,epsilon_C,sigma_X,sigma_C,dx,vacuum,initial_guess
0082,200,20,-1900,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0083,200,20,-1900,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0084,200,20,-1900,-750,1000,1000,1.0,1.0,0.02,10,0.01
0085,200,20,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0086,200,20,-1550,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0087,200,20,-1550,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0088,200,20,-1550,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0089,200,20,-1550,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0090,200,20,-1550,-750,1000,1000,1.0,1.0,0.02,10,0.01
0091,200,20,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0092,200,20,-1200,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0093,200,20,-1200,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0094,200,20,-1200,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0095,200,20,-1200,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0096,200,20,-1200,-750,1000,1000,1.0,1.0,0.02,10,0.01
0097,200,20,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0098,200,20,-850,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0099,200,20,-850,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0100,200,20,-850,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0101,200,20,-850,-1100,1000,1000,1.0,1.0,0.02,10,0.01
0102,200,20,-850,-750,1000,1000,1.0,1.0,0.02,10,0.01
0103,200,20,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0104,200,20,-500,-2150,1000,1000,1.0,1.0,0.02,10,0.01
0105,200,20,-500,-1800,1000,1000,1.0,1.0,0.02,10,0.01
0106,200,20,-500,-1450,1000,1000,1.0,1.0,0.02,10,0.01
0107,200,20,-500,-1100,1000,1000,1.0,1.0,0.02,10,0.01
